Property Name,PID
"The Gramercy at Town Center",1445907378475676997
"Hunters Glen",1445907375990107713
"Crystal Park at Waterford",1445907375325238182
"The Courts of Devon",1445907378210158043
"The Apartments at Harbor Park",1445907377969414071
"Liberty Towers",1445907376085377072
"Masons Keepe",1445907376319963272
"Spinnaker Bay at Harbor East",1445907377740554322
"Spring House at  Brandywine",1445907377767880509
"St. Johns Wood",1445907377794239695
"Stone Point Apartments",1445907377845140206
"The Promenade at Harbor East",1445907378773112470
"The Whitney",1445907378952242847
"The Townes at Harvest View",1445907378903222409
"Towson Woods Apartments",1445907379164700284
"Concord Park At Russett",1445907375275570261
"Gaslight Commons",1445907375721768582
"Lakeside Apartments",1445907376061314344
"Pinnacle Town Center",1445907376776775778
"Regent's Park",1445907377994800358
"Riverwalk at Millennium",1445907377063625573
"Stonington Farm",1445907377870911583
"The Lexington at Market Square",1445907378631869904
"Avenel at Montgomery Square",1445907377283170594
"Edgewater Apartments",1445907375401382730
"The Ellington",1445907378260646200
"London Normandy House",1445907376245329115
"The Metropolitan",1445907378699055877
"Strathmore Court at White Flint",1445907377895923133
"Arbors at Arundel Preserve",1445907374952730751
"Concord Crystal City",1445907375250069231
"Newseum Residences",1445907376559006630
"Rolling Hills",1445907377088217264
"Rosemary Ridge",1445907377112199369
"The Zenith",1445907379002484873
"Chatsworth Park",1445907375201670299
"Excalibur Apartments",1445907375590119638
"Greenwich Place",1445907375771365174
"Upstairs at Bethesda Row",1445907379217795118
"Belmont Station",1445907375098613444
"Arbors at Broadlands",1445907375000862470
"Senate Square",1445907377136866745
"Lodge at Seven Oaks",1445907376110418251
"The Brownstones at Englewood South",1445907378117392699
"Regatta Apartments",1445907376963735755
"Highland Park",1445907375940367879
"Spa Cove",1447170622453420266
"MetroPointe",1445907376375983470
"Monroe Place",1445907376431303118
"Pearson Square",1445907376752981023
"The Village at Taylor Pond",1445907378927832356
"The Arbors At Fair Lakes",1445907378018710374
"Halstead Arlington",1445907375820628304
"Jericho Residences",1445907376037783801
"Mariner Bay at Annapolis Towne Centre",1445907376294240328
"Observer Park",1445907376582670449
"220 Twentieth Street",1447170672881814867
"Park Place at Petworth Metro",1445907376703866739
"100 Park at Wyomissing Square",1445907374430604393
"WestEnd25",1447170840776112883
"River House",1447170909826739220
"The Fenestra at Rockville Town Square",1445907378285404165
"Siena Park",1445907377184459592
"The Guilford",1445907378530624558
"The Fitzgerald at UB Midtown",1445907378310612932
"The Jefferson at Fair Oaks",1445907378555337423
"Carver 2000 Senior Mansion",1451449008258537908
"Eight 50 Aliceanna",1445907375536229669
"The Residences at the Market Common",1445907378824095994
"The Apartments at North Point",1451450274836586437
"Park Place at Van Dorn",1445907376729096893
"Poplar Glen",1445907376801974042
"Red Run Apartments",1445907376937123794
"Riverstone at Owings Mills",1445907377037517004
"Silverwood Farm",1445907377209156892
"St. Paul Senior Living Apartments",1452770713836276617
"The Loree Grand at Union Place",1445907378658289972
"360 State Street",1445907374644048821
"Lotus Square",1451449948085477681
"The Grays on Pennsylvania",1451450444137103948
"The Paramount",1447170403676758493
"The Glen Apartments",1445907378447075255
"Timberlawn Crescent",1445907379025691156
"Washington Crossing",1445907377642314872
"Park Lane Seaport",1492221611079214962
"15 Bank Apartments",1445907374456957726
"Enclave at Emerson",1445907375563291047
"Residences on The Avenue",1445907376989031455
"Alta at Regency Crest",1478693722760301973
"Sterling Parc at Hanover",1445907377821400222
"Willowdale Crossing",1445907379268247632
"Overlook Manor",1445907376630869115
"Summer Chase Apartments",1445907377920044758
"1500 Locust",1445907374537091769
"800 Carlyle",1445907374841922472
"2401 Pennsylvania",1445907374589769438
"The Sagamore",1445907378847485381
"Monterey Apartments",1445907376509625793
"vPoint",1445907379243177481
"The Chelsea",1445907378142410923
"The Pepper Building",1445907378748416851
"Arbors at Baltimore Crossroads",1445907374976712841
"McHenry Row",1445907376348704122
"Halstead Square Dunn Loring Metro",1445907375869099493
"Rhode Island Row",1445907377014211050
"Solaire",1445907377234711766
"Yale West",1445907379331051306
"Monroe Street Market",1448635931144694940
"Hidden Creek Apartment Homes",1445907375916074503
"Flats at Atlas",1445907375671697655
"The Residences at Rivers Edge",1445907378798105378
"Cameron Court",1445907375178791957
"Flats 130 at Constitution Square",1445907375616897290
"The Kensington",1445907378580787078
"Avery Row",1450610052488528027
"Griffin Apartments at Petworth Metro",1445907375795291959
"Atmark Cambridge",1445907375050194604
"Union Wharf Apartments",1445907379191927893
"The Beacon at Waugh Chapel",1445907378091335382
"Cathedral Commons",1457763926002039859
"Crosswinds at Annapolis Towne Centre",1445907375300444506
"Capitol Yards",1445907377309550635
"3333 Wisconsin",1445907374616715043
"Flats170 at Academy Yard",1445907375696398097
"Madox",1445907376270393195
"The Greentree Building",1445907378503221144
"Verandas",1489496832852139858
"Eastside Flats",1445907375375771311
"Waterside Place",1445907379293988340
"The Kingsley",1445907378605221552
"The Avant at Reston Town Center",1445907378043945717
"New Village at Patchogue",1445907376534981484
"Cadence at Crown",1445907375146813007
"Allegro",1445907374892634364
"Arcadia Run",1445907375024598242
"Halstead Dulles",1445907375844518817
"Brompton House",1445907375122184392
"City Market at O Street",1445907375225665763
"Elevation at Washington Gateway",1451449292872503103
"7th Flats",1445907374718364345
"The Esplanade at National Harbor",1468649165897966598
"Instrata at Mercedes House",1452773525743798214
"District",1445907375350582022
"Icon",1445907376013074889
"Chesapeake Ridge",1445907374917922489
"Station at Manayunk",1445907378871896475
"Creekstone Village Apartments",1451449081558500656
"Gatehouse 75",1445907375746142099
"The Batch Yard",1445907378068124292
"The Dylan",1451450334763214532
"Millstone at Kingsview",1445907376403292803
"The Shelby",1451450509062692023
"75 Tresser",1445907374693019048
"One Greenway",1490128374267261194
"Bridgeview Apartments",1447170968780763605
"Halstead Tewksbury",1452773733810814321
"Halstead White Plains Metro North",1445907375893338194
"The Wimbledon",1445907378976501571
"Onyx on First",1445907376607082866
"The Frasier",1480981830310143672
"Flats on D",1451449459542061701
"Fenwick",1451449385250881325
"The Swift",1451451454722676095
"Takoma Central",1451450218597911382
"Fuse Cambridge",1492950375970158830
"The Apartments at CityCenter",1445907377944575602
"The Crest at Fort Lee",1445907378235941829
"Hodge on 7th",1466926612252400833
"The Palatine Apartments",1464923082374450394
"Carmel Alexandria",1451448900445224320
"Carmel Midtown Square",1450338753272569294
"Serrano Apartments",1451450167272238537
"Spectrum Apartments",1446357631767087242
"The Summit Apartments",1451451398945818499
"Halstead New Rochelle Metro North",1451449653105691769
"Infinity Apartments",1451439801603529576
"Currents on the Charles",1471081650787706163
"Instrata Pentagon City",1451449897379886052
"The Artisan Series",1473911746405894854
"800 Madison",1451448836132741450
"The Parker",1492003947303660561
"Reading Commons",1451450114069058869
"Kent",1451448400987805744
"77 H",1456609530555098741
"The Yards at Fieldside Village",1473348142103179924
"West 130 Apartments",1461845645011435984
"Watertown Mews",1467911218860151719
"North Bethesda Market",1465749326544576145
"70 Capitol Yards",1445907374669550410
"909 Capitol Yards",1445907374867500010
"100 Capitol Yards",1445907374195483889
"The Winthrop",1475885385971217075
"Castle",1490499371244274493
"Station Square Apartments",1473357105080561943
"West Broad",1492004377835086424
"One City Place",1492221004596103781
"Capitol at Chelsea",1477715730302559538
"Curling Club",1475886529706209522
"Palette at Arts District",1445907376656557871
"The Glen",1445907378447075255
"Milestone",1473358808273501337
"The Woodley",1475084376938572211
"Halstead Danvers",1477193523034471277
"Carmel Alexandria Apartments",1451448900445224320
"The Summit",1451451398945818499
"Artisan Series",1473911746405894854
"3737 Chestnut",1489585828067303312
"Monroe Street Market-Brookland Works",1445907376483012785
"Monroe Street Market-Portland Flats",1445907377384407971
"Mallory Square",1480587811348314137
"Gables at Waters Landing",1480588645916129852
"The Maxwell",1478710225329618515
"Bennett Park",1479342793347335675
"Clayborne",1479342974529375406
"Ashby at McLean",1479343044613932815
"The Jefferson at Farmingdale Plaza",1485336745009351403
"5333 Connecticut",1486956715768941749
"Park Adams",1483875874371067919
"Roosevelt Towers",1483876783680220688
"Munson Hill",1483877304441422989
"Country Club Towers",1483876455174736848
"Metro 303",1490124989547528390
"The Kenmore",1489584373641330567
"3801 Connecticut",1489584918958090452
"Walker House",1489582428734400548
"Bethesda Hill",1489585325814900700
"PerSei Apartments at Pike & Rose",1451450056217680982
"Harmony Place",1489495928917139543
"The Equitable Building",1489768351900359229
"Redstone at Concordville Town Centre",1492005129981606723
"Flanders Hill at Westborough",1490493681054366265
"Twenty|20",1491845246068754645
"OneEleven",1490459356748298761
